用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
1***p,PLUS会员,"<div class=""comment-star star1""></div>",刚买完到屈臣氏一看一样的东西69块,水润保湿面膜,,,,,2019-07-13 18:57
****f,,"<div class=""comment-star star1""></div>",不好用，没有评价那么好吗,水润保湿面膜10片,2017-12-09 09:20,,,,
u***b,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,水润保湿面膜10片,2018-08-20 21:10,,,,
H***g,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,水润保湿面膜10片,2018-09-09 18:59,,,,
Y***乀,,"<div class=""comment-star star1""></div>",假的跟以前用的不一样,水润保湿面膜10片,2017-11-16 22:10,,,,
w***k,PLUS会员,"<div class=""comment-star star1""></div>",速度很给力，就是包装有点不理想,,,2017-10-09 14:31,水润保湿面膜10片,,
****b,,"<div class=""comment-star star1""></div>",这面膜设计的大脸专用吧,水润保湿面膜,,,,,2019-08-23 20:58
u***j,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,水润保湿面膜,,,,,2019-07-13 21:02
****I,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,水润保湿面膜,,,,,2019-07-24 23:49
****m,,"<div class=""comment-star star1""></div>",用完脸上会长白色的痘痘,水润保湿面膜,,,,,2019-10-02 15:41
d***6,,"<div class=""comment-star star1""></div>",居然是一块干布，残次品,,,,【热销爆款】水润保湿面膜,2019-11-19 23:27,
x***g,PLUS会员,"<div class=""comment-star star1""></div>",一般，没有在韩国买的好用,水润保湿面膜10片,2018-03-26 22:18,,,,
****a,,"<div class=""comment-star star1""></div>",刚买完就降价，你咋不早说,水润保湿面膜10片,2017-06-18 10:16,,,,
阔***宝,,"<div class=""comment-star star1""></div>",买过好多次了，这次的包装、全烂了,水润保湿面膜10片,2018-06-18 19:57,,,,
****b,,"<div class=""comment-star star1""></div>",假货，和我在屈臣氏买的不一样,【热销爆款】水润保湿面膜10片,,,,,2020-05-17 22:06
****4,,"<div class=""comment-star star1""></div>",收到货的时候是烂的客服不理,【热销爆款】水润保湿面膜,,,,,2019-11-12 09:05
****i,,"<div class=""comment-star star1""></div>",假货别买，有问题没人管！,水润保湿面膜10片,2018-06-03 22:12,,,,
u***V,,"<div class=""comment-star star1""></div>",第一次用，不是想要的效果！,水润保湿面膜10片,2018-03-01 14:47,,,,
z***3,,"<div class=""comment-star star1""></div>",广告打的179四盒，到手价186.9！自己看吧,,,,【热销爆款】水润保湿面膜,2019-11-11 13:31,
u***5,,"<div class=""comment-star star1""></div>",所有的盒子都被拆开，每盒都少了三张,水润保湿面膜10片,2017-11-01 10:47,,,,
u***w,PLUS会员,"<div class=""comment-star star1""></div>",盒损坏！！盒内面膜都散出,,,2018-03-04 22:09,水润保湿面膜10片,,
****z,PLUS会员,"<div class=""comment-star star1""></div>",京东的物流就是这个样子的，这么暴力,,,2017-11-17 12:07,水润保湿面膜10片,,
****b,PLUS会员,"<div class=""comment-star star1""></div>",跟家里用的完全不一样绝对不是正品,水润保湿面膜,,,,,2019-03-16 17:18
无***生,,"<div class=""comment-star star1""></div>",包装简陋，到了盒子全部是烂的。。。。,水润保湿面膜10片,2018-03-20 13:53,,,,
****p,,"<div class=""comment-star star1""></div>",嗯买三盒没有赠安瓶吗?,【热销爆款】水润保湿面膜10片,,,,,2020-05-06 18:00
拉***棍,,"<div class=""comment-star star1""></div>",补水效果不好。以后不敢买了,水润保湿面膜,,,,,2019-07-19 15:35
泉***子,,"<div class=""comment-star star1""></div>",发过来还有盒这个假货？,,,,水润保湿面膜,2018-12-29 21:47,
u***p,,"<div class=""comment-star star1""></div>",拿到货，四盒每盒有一端都开着。像假品！,【热销爆款】水润保湿面膜,,,,,2019-11-13 19:52
