用户名,会员,星级,评论,类型1,评论时间1,评论时间2,类型2,评论时间3,评论时间4
贪***身,,"<div class=""comment-star star1""></div>",买三盒就给我两盒不晓得是什么意思,【热销爆款】水润保湿面膜10片,,,,,2020-03-19 21:10
流***者,,"<div class=""comment-star star1""></div>",水货买来一看就被拆过的。,,,2017-12-23 19:01,水润保湿面膜10片,,
****e,,"<div class=""comment-star star1""></div>",面膜是假的，还卖的这么贵,【补水保湿】水润面膜,2020-11-07 20:01,,,,
****4,,"<div class=""comment-star star1""></div>",你们发的面膜扫不了二维码，不知道是正品否,水润保湿面膜10片,2018-04-23 16:43,,,,
****u,PLUS会员,"<div class=""comment-star star1""></div>",不适应，要求退货，说用了不退,【热销爆款】水润保湿面膜10片,,,,,2020-02-29 22:27
****N,,"<div class=""comment-star star1""></div>",为什么包装是被打开过的？,,,2018-05-07 20:16,水润保湿面膜10片,,
星***a,,"<div class=""comment-star star1""></div>",收到这样的不舒服不舒服,,,,【热销爆款】水润保湿面膜10片,2019-12-17 21:46,
宠***馨,,"<div class=""comment-star star1""></div>",假货，每次用第二天都会爆痘,水润保湿面膜10片,2017-08-02 20:30,,,,
****n,PLUS会员,"<div class=""comment-star star1""></div>",已经被开包，这是什么信誉。,,,2018-02-05 20:32,水润保湿面膜10片,,
u***q,,"<div class=""comment-star star1""></div>",不只怎么的，敷了面膜感觉脸好痒,水润保湿面膜,,,,,2019-03-29 21:48
a***r,PLUS会员,"<div class=""comment-star star1""></div>",打开快递一看，有点小惊讶。,,,2018-03-01 22:34,水润保湿面膜10片,,
静***r,,"<div class=""comment-star star1""></div>",底部都坏了这什么包装啊！,水润保湿面膜10片,2018-05-08 22:21,,,,
w***1,,"<div class=""comment-star star1""></div>",用过之后不好用，应该不是正品。,水润保湿面膜10片,2017-10-09 17:19,,,,
u***8,,"<div class=""comment-star star1""></div>",这次买的是假的，跟以前不搞活动买的不一样,水润保湿面膜,,,,,2019-06-04 22:23
咕***鱼,PLUS会员,"<div class=""comment-star star1""></div>",第一次收到这样的包装！！！,,,2018-04-23 12:10,水润保湿面膜10片,,
****n,PLUS会员,"<div class=""comment-star star1""></div>",不是正品，包装是打开的,,,2016-09-28 15:43,水润保湿面膜10片,,
嘟***4,PLUS会员,"<div class=""comment-star star1""></div>",产品破损成这样，也是呵呵。。,水润保湿面膜10片,2016-09-09 12:21,,,,
u***5,,"<div class=""comment-star star1""></div>",收到宝贝时包装是打开这的,水润保湿面膜10片,2016-12-23 18:16,,,,
尛***陆,PLUS会员,"<div class=""comment-star star1""></div>",这应该被别人打开过的吧？还是人家退货过的,,,,水润保湿面膜,2019-07-23 18:40,
1***2,PLUS会员,"<div class=""comment-star star1""></div>",这个包装我真的是醉了。。。,,,,水润保湿面膜,2019-03-22 15:01,
****f,,"<div class=""comment-star star1""></div>",没有我双十一前买的面膜好，一分价格一分货!,水润保湿面膜10片,2017-11-17 14:18,,,,
u***5,,"<div class=""comment-star star1""></div>",什么破面膜一点不植这个价,水润保湿面膜10片,2017-10-15 14:53,,,,
****a,PLUS会员,"<div class=""comment-star star1""></div>",买一堆都是贴的标套装务拆，结果全是拆开的,水润保湿面膜10片,2018-01-02 16:02,,,,
y***g,,"<div class=""comment-star star1""></div>",不像原装的，不推荐购买,水润保湿面膜10片,2017-12-27 09:52,,,,
A***I,,"<div class=""comment-star star1""></div>",假的，和我在店铺买的差远了！,水润保湿面膜10片,2018-04-20 18:34,,,,
****c,,"<div class=""comment-star star1""></div>",效果不好、就用了一片、白浪费钱了,水润保湿面膜10片,2016-10-18 18:14,,,,
蓝***9,,"<div class=""comment-star star1""></div>",快过期的产品，包装简陋,,,2020-11-12 17:19,【补水保湿】水润面膜,,
d***n,,"<div class=""comment-star star1""></div>",里面包装破损，不像正品,,,,水润保湿面膜,2019-09-08 15:23,
****h,PLUS会员,"<div class=""comment-star star1""></div>",打开包装是这样的，人为打开过，希望没有调包,,,,水润保湿面膜,2019-05-29 19:03,
****o,PLUS会员,"<div class=""comment-star star1""></div>",买贵了，前两天花128买了十片。,【补水保湿】水润面膜,2020-09-01 20:21,,,,
****Z,,"<div class=""comment-star star1""></div>",给我的感觉是这个真的是正品吗……,【热销爆款】水润保湿面膜,,,,,2019-12-10 19:55
夜***思,,"<div class=""comment-star star1""></div>",用到最后起渣我需要一个解释,【热销爆款】水润保湿面膜10片,,,,,2019-12-23 01:32
****b,,"<div class=""comment-star star1""></div>",快递包装全是开口的是何道理！不会调包了吧！,水润保湿面膜10片,2017-11-02 10:51,,,,
****1,,"<div class=""comment-star star1""></div>",面膜好干巴巴，怀疑不是正品,【热销爆款】水润保湿面膜10片,,,,,2020-02-14 02:44
江***云,,"<div class=""comment-star star1""></div>",不怎么好，没魔法世家的好,水润保湿面膜10片,2018-08-26 17:15,,,,
c***6,,"<div class=""comment-star star1""></div>",刚买完就降价，你逗我玩呢啊。,水润保湿面膜,,,,,2019-02-15 15:35
****i,,"<div class=""comment-star star1""></div>",用完就过敏了，满脸通红,水润保湿面膜,,,,,2019-07-03 22:08
尹***权,PLUS会员,"<div class=""comment-star star1""></div>",觉得是假的，条码粘的乱七八糟,水润保湿面膜10片,2016-12-03 09:55,,,,
****9,PLUS会员,"<div class=""comment-star star1""></div>",包装越来越离谱，全部压坏了！,,,,水润保湿面膜,2019-09-24 13:30,
天***a,,"<div class=""comment-star star1""></div>",质量下降，比上次买的差多了！,水润保湿面膜,,,,,2019-06-04 10:37
S***a,,"<div class=""comment-star star1""></div>",坑人啊，上午下单，下午到货，晚上便宜一半！,水润保湿面膜10片,2018-07-25 21:16,,,,
****1,PLUS会员,"<div class=""comment-star star1""></div>",感觉不如以前好用了？假货？,【热销爆款】水润保湿面膜10片,,,,,2020-02-19 23:15
****f,,"<div class=""comment-star star1""></div>",不好用，用一次就没有用了,【热销爆款】水润保湿面膜10片,,,,,2019-12-12 18:15
****e,,"<div class=""comment-star star1""></div>",东西怎么样不知道，没包装，直接就这么邮寄过来,,,2017-11-09 07:19,水润保湿面膜10片,,
****a,,"<div class=""comment-star star1""></div>",怎么说我也不懂反正就是这个情况呵呵,,,,水润保湿面膜,2018-11-07 19:47,
u***e,,"<div class=""comment-star star1""></div>",为什么2盒面膜盒子底部都是被开过的痕迹？？？？,,,2018-02-28 23:19,水润保湿面膜10片,,
J***少,,"<div class=""comment-star star1""></div>",盒子全部破了。也没有赠品,【补水保湿】水润面膜,2020-11-14 09:59,,,,
****q,,"<div class=""comment-star star1""></div>",便宜是便宜的，敏感肌还是不要用,水润保湿面膜10片,2018-04-13 11:32,,,,
****g,,"<div class=""comment-star star1""></div>",收到货的时候盒子都烂完了，伤不起,水润保湿面膜10片,2018-01-11 18:04,,,,
贞***武,PLUS会员,"<div class=""comment-star star1""></div>",包装不一样里面的材质也不一样,水润保湿面膜10片,2016-12-19 19:01,,,,
u***l,,"<div class=""comment-star star1""></div>",比以前买的稀很多感觉不是真货,水润保湿面膜10片,,,,,
深***洋,PLUS会员,"<div class=""comment-star star1""></div>",第一次用这个牌子面膜过敏啊,水润保湿面膜10片,2018-06-02 20:51,,,,
****0,,"<div class=""comment-star star1""></div>",不是正品，跟在韩国代购买的面膜不一样。好可怕,水润保湿面膜10片,2017-11-23 21:22,,,,
a***n,PLUS会员,"<div class=""comment-star star1""></div>",假货和去韩国买回来对比不一样,水润保湿面膜10片,2016-12-31 21:38,,,,
不***年,PLUS会员,"<div class=""comment-star star1""></div>",下单后第二天打五折，没提示不满意。,水润保湿面膜10片,2017-06-18 23:43,,,,
C***A,PLUS会员,"<div class=""comment-star star1""></div>",敷了二次就开始冒脂肪粒冒痘痘，,水润保湿面膜,,,,,2019-06-12 23:26
E***b,,"<div class=""comment-star star1""></div>",只能说物流很快。面膜真心一般。,水润保湿面膜10片,,,,,
****g,,"<div class=""comment-star star1""></div>",上面显示买四盒送两盒没有送,【玄彬同款】水润面膜,2020-12-12 09:54,,,,
m***B,,"<div class=""comment-star star1""></div>",面膜感觉像假的，和之前的都不一样,水润保湿面膜,,,,,2019-06-19 16:58
o***0,PLUS会员,"<div class=""comment-star star1""></div>",扫二维码就出现这个，也不知道是真的还是假的,,,2017-11-16 12:25,水润保湿面膜10片,,
l***9,PLUS会员,"<div class=""comment-star star1""></div>",感觉没有上次买的好，包装不一样,水润保湿面膜,,,,,2019-01-25 13:23
****b,,"<div class=""comment-star star1""></div>",一般吧，我每天敷面膜，皮肤照样干燥,水润保湿面膜,,,,,2019-04-23 16:43
一***丿,,"<div class=""comment-star star1""></div>",买时不知道是韩国的，已经扔了！,水润保湿面膜10片,2017-04-25 14:57,,,,
u***i,,"<div class=""comment-star star1""></div>",不好用和实体店不一样,水润保湿面膜10片,,,,,
_***-,,"<div class=""comment-star star1""></div>",感觉这是假的商品，用了没什么效果?,水润保湿面膜10片,2017-06-05 11:28,,,,
****7,,"<div class=""comment-star star1""></div>",买货京东自营的好多东西，这个真不好,水润保湿面膜10片,2017-07-16 19:47,,,,
小***9,,"<div class=""comment-star star1""></div>",根本没有收到货！快递不接电话，客服不管,水润保湿面膜,,,,,2019-09-26 16:57
****t,,"<div class=""comment-star star1""></div>",假的吧，那么厚的面膜，不一样的,【热销爆款】水润保湿面膜10片,,,,,2020-04-17 21:04
1***六,PLUS会员,"<div class=""comment-star star1""></div>",产品质感：有点过敏之前用没事不像真的,水润保湿面膜,,,,,2019-10-17 10:47
****u,,"<div class=""comment-star star1""></div>",买二免一实际付款没有免**,水润保湿面膜,,,,,2018-12-12 15:03
****6,,"<div class=""comment-star star1""></div>",618活动买的，怎么比现在还贵,针剂水库补水保湿面膜25ml*10,2016-07-07 14:16,,,,
余***x,,"<div class=""comment-star star1""></div>",一般般吧，快用完了，没感觉有啥改善,水润保湿面膜10片,2018-06-26 18:40,,,,
z***C,,"<div class=""comment-star star1""></div>",包装没一个好的全烂了也不知道是正品不,,,,水润保湿面膜,2019-04-01 21:40,
无***9,PLUS会员,"<div class=""comment-star star1""></div>",打开盒子都是拆开的，上面还写着套装勿拆。呵呵,水润保湿面膜10片,2017-12-10 22:01,,,,
****。,,"<div class=""comment-star star1""></div>",赠品却没有发说补发没回事,【补水保湿】水润面膜,2020-11-03 17:24,,,,
阿***-,,"<div class=""comment-star star1""></div>",不好用，用完脸上黏乎乎的。,水润保湿面膜10片,2016-12-27 09:15,,,,
夜***暗,,"<div class=""comment-star star1""></div>",包装已经烂了，估计东西也不是真的，差就一个字！,水润保湿面膜10片,2017-12-13 17:42,,,,
z***合,PLUS会员,"<div class=""comment-star star1""></div>",买了两盒其中一盒送来就是这样了，这就是京东,,,2018-04-18 20:06,水润保湿面膜10片,,
****p,,"<div class=""comment-star star1""></div>",比专卖店还贵，而且没有专卖店的好，感觉是假货。,水润保湿面膜10片,2018-02-13 12:25,,,,
u***j,,"<div class=""comment-star star1""></div>",不怎么样.不是说那么好,水润保湿面膜10片,2017-04-30 15:07,,,,
W***J,,"<div class=""comment-star star1""></div>",对比之前买的，假货......不想退了，,水润保湿面膜10片,2017-11-24 22:00,,,,
****f,,"<div class=""comment-star star1""></div>",敏感性皮肤过敏、却不给退????,水润保湿面膜10片,2017-09-20 12:25,,,,
****z,,"<div class=""comment-star star1""></div>",用了痘痘变红了发炎了,水润保湿面膜10片,2017-06-28 17:43,,,,
无***1,PLUS会员,"<div class=""comment-star star1""></div>",东西不说咋样*刚买一周还没用*,水润保湿面膜10片,,,,,
7***d,,"<div class=""comment-star star1""></div>",看图说话，面膜还没有用,,,2017-09-12 08:49,水润保湿面膜10片,,
****i,,"<div class=""comment-star star1""></div>",包装不是一般的破，刚拆开的样子,,,2020-06-21 09:29,【热销爆款】水润保湿面膜,,
小***儿,,"<div class=""comment-star star1""></div>",脸红肿了，是不是过期的,水润保湿面膜10片,2018-03-19 10:10,,,,
V***呀,,"<div class=""comment-star star1""></div>",18年生产的买了四盒都快过期了,【补水保湿】水润面膜,2020-11-15 21:56,,,,
****p,,"<div class=""comment-star star1""></div>",假的啊，过敏了，敷了三次长痘痘了,水润保湿面膜,,,,,2019-06-04 20:25
惠***舟,,"<div class=""comment-star star1""></div>",抵制韩货，败家娘们再敢买韩货，回头就把婚离了。,水润保湿面膜10片,,,,,
****n,,"<div class=""comment-star star1""></div>",买完就降价保价不通过，心里难受,【热销爆款】水润保湿面膜,2020-06-18 11:36,,,,
老***面,PLUS会员,"<div class=""comment-star star1""></div>",你们莫是给我搞错了额，感觉是另一款,水润保湿面膜10片,2018-03-07 14:55,,,,
真***贱,PLUS会员,"<div class=""comment-star star1""></div>",为什么盒子是拆封的，第一在京东遇到这种情况！！,,,2018-03-09 17:44,水润保湿面膜10片,,
u***x,PLUS会员,"<div class=""comment-star star1""></div>",收到快递盒子是打开的不知道是不是真的,水润保湿面膜10片,2017-12-28 11:07,,,,
洋***-,,"<div class=""comment-star star1""></div>",包装不完整，用起来也不是很舒服，,水润保湿面膜10片,2018-08-14 14:14,,,,
u***m,,"<div class=""comment-star star1""></div>",面膜纸不好，精华液挺多的,水润保湿面膜10片,2017-07-17 01:36,,,,
u***8,PLUS会员,"<div class=""comment-star star1""></div>",包装不是很好，还给人开过的，这也送过来！！！！！,针剂水库补水保湿面膜25ml*10,2016-06-20 23:45,,,,
格***1,,"<div class=""comment-star star1""></div>",韩国面膜以后不在使用,水润保湿面膜10片,,,,,
u***o,,"<div class=""comment-star star1""></div>",女朋友用完之后说辣鸡,水润保湿面膜10片,2017-04-22 13:56,,,,
u***r,,"<div class=""comment-star star1""></div>",这个挺好用的，就是精华没有以前多了,【热销爆款】水润保湿面膜,,,,,2019-12-07 10:24
l***y,PLUS会员,"<div class=""comment-star star1""></div>",用了几次之后开始长痘,【热销爆款】水润保湿面膜,2020-07-21 16:13,,,,
D***0,,"<div class=""comment-star star1""></div>",不好用，京东秒杀的东西一般都是不好的,水润保湿面膜,,,,,2019-06-23 23:38
****5,,"<div class=""comment-star star1""></div>",用了感觉和没用的一样,水润保湿面膜10片,2017-06-27 00:04,,,,
u***r,,"<div class=""comment-star star1""></div>",买到假货了。一时没看哪里出品,水润保湿面膜10片,2016-11-01 21:45,,,,
****d,,"<div class=""comment-star star1""></div>",到货不是最新款的，难怪特价了,水润保湿面膜10片,2016-11-22 16:52,,,,
伟***-,PLUS会员,"<div class=""comment-star star1""></div>",使用感受：用了脸要发热，不敢用了,水润保湿面膜,,,,,2019-10-17 15:33
S***8,PLUS会员,"<div class=""comment-star star1""></div>",壳子破了，最近买的都这样，在搞啥？,水润保湿面膜10片,2016-08-21 08:13,,,,
孟***媚,,"<div class=""comment-star star1""></div>",补水的居然过敏，不敢用了,水润保湿面膜,,,,,2019-03-13 22:30
爱***洋,,"<div class=""comment-star star1""></div>",效果不怎么样面膜还有点小,,,2017-12-27 21:09,水润保湿面膜10片,,
u***8,,"<div class=""comment-star star1""></div>",我在网上查了下，这个好像是假的，包装就不对,,,2016-08-26 21:04,水润保湿面膜10片,,
****a,,"<div class=""comment-star star1""></div>",快递小哥把我的件弄丢了！！至今木有收到货?,水润保湿面膜,,,,,2019-06-11 15:20
_***o,,"<div class=""comment-star star1""></div>",少了三片。说不清楚。懒得退货了。慎买,水润保湿面膜10片,2017-06-23 07:26,,,,
****7,,"<div class=""comment-star star1""></div>",一天卖两个价，凌晨128，早上就109了,【补水保湿】水润面膜,2020-11-19 22:05,,,,
x***6,PLUS会员,"<div class=""comment-star star1""></div>",面膜一点不服帖，和在实体买的不一样,水润保湿面膜,,,,,2019-09-22 09:00
那***处,,"<div class=""comment-star star1""></div>",背后被撕掉的一角，是不是有点不真实,,,2017-06-20 14:34,水润保湿面膜10片,,
****5,PLUS会员,"<div class=""comment-star star1""></div>",很不错的东西，很喜欢，很好用,水润保湿面膜10片,2016-11-29 15:46,,,,
****d,,"<div class=""comment-star star1""></div>",刚买了就降价，降得比我这满减后的价格还低。,水润保湿面膜10片,2017-11-12 04:54,,,,
y***g,,"<div class=""comment-star star1""></div>",跟香港买的不一样，面膜纸明显厚很多,水润保湿面膜10片,2017-08-30 22:39,,,,
****l,,"<div class=""comment-star star1""></div>",跟之前买的不一样，这个很油也不补水,水润保湿面膜10片,2017-11-04 14:06,,,,
****q,,"<div class=""comment-star star1""></div>",不好用，面膜上居然给我印字,水润保湿面膜,,,,,2019-07-17 23:03
****1,,"<div class=""comment-star star1""></div>",包装真差揉得像淹菜有的还干了,水润保湿面膜,,,,,2019-03-22 22:15
芭***贝,,"<div class=""comment-star star1""></div>",包装差到离谱！！拿出来口都是开的！,,,2017-05-19 13:00,水润保湿面膜10片,,
两***哒,,"<div class=""comment-star star1""></div>",盒子都是被拆过烂掉的,【补水保湿】水润面膜,2020-11-16 17:42,,,,
u***h,,"<div class=""comment-star star1""></div>",面膜有一片是有洞的，会漏出来,,,,【热销爆款】水润保湿面膜10片,2020-05-03 21:03,
宝***3,,"<div class=""comment-star star1""></div>",还说搞活动买128过几天就72亏大了,水润保湿面膜10片,2017-09-15 20:46,,,,
涵***颖,PLUS会员,"<div class=""comment-star star1""></div>",用了后有微痛感，与在韩国买的不一样。,,,,,,
梦***6,PLUS会员,"<div class=""comment-star star1""></div>",补水效果：面膜都没啥液体都快干了,【热销爆款】水润保湿面膜10片,,,,,2020-03-17 12:11
****?,,"<div class=""comment-star star1""></div>",肯定不是真货，和之前买的不一样的，大家别再信了,水润保湿面膜,,,,,2019-05-10 15:00
****c,,"<div class=""comment-star star1""></div>",其他特色：一起买了两盒，一盒开封过，一盒包装盒变形,,,,水润保湿面膜,2019-10-10 17:00,
孤***者,PLUS会员,"<div class=""comment-star star1""></div>",这包装我第一次见，。小包装也是破损漏水,,,,【热销爆款】水润保湿面膜10片,2020-02-21 18:34,
****l,PLUS会员,"<div class=""comment-star star1""></div>",使用感受：纯假货，用完过敏痒。,【补水保湿】水润面膜,2020-11-30 22:53,,,,
****q,PLUS会员,"<div class=""comment-star star1""></div>",产品改了，没之前的好用，,【热销爆款】水润保湿面膜,2020-07-03 08:16,,,,
沧***2,,"<div class=""comment-star star1""></div>",快递打开里面是开着的你让我如何相信我要退货,,,2018-06-12 12:01,水润保湿面膜10片,,
创***靈,,"<div class=""comment-star star1""></div>",一买第二天就降价申请价格保护从来都不会通过,水润保湿面膜10片,2018-06-18 10:28,,,,
k***o,,"<div class=""comment-star star1""></div>",买回来起了一脸疙瘩，不可靠,水润保湿面膜10片,2016-07-27 08:01,,,,
****0,,"<div class=""comment-star star1""></div>",东西不错，但是韩国货，以后不会买了,水润保湿面膜10片,,,,,
****a,,"<div class=""comment-star star1""></div>",辣鸡不敢用用完觉得不舒服,水润保湿面膜10片,2017-05-14 10:02,,,,
****b,PLUS会员,"<div class=""comment-star star1""></div>",假货吧，才买的*一盒，买了两盒，现在降价一半了，,水润保湿面膜10片,2017-09-08 16:02,,,,
****1,,"<div class=""comment-star star1""></div>",刚刚买完第二天就掉价还掉整整一半我就呵呵了,水润保湿面膜10片,2017-12-09 10:35,,,,
a***p,PLUS会员,"<div class=""comment-star star1""></div>",效果是一点都没有的，不好用,【热销爆款】水润保湿面膜,2020-07-27 12:54,,,,
****h,,"<div class=""comment-star star1""></div>",产品质感：精华少到可怜使用感受：面膜干,【热销爆款】水润保湿面膜,,,,,2019-11-29 19:21
****Q,PLUS会员,"<div class=""comment-star star1""></div>",跟在韩国买回来，还有*买的都不一样,水润保湿面膜10片,2016-09-26 10:59,,,,
活***跳,,"<div class=""comment-star star1""></div>",没用，送起来没效果。对不起这个价格。,水润保湿面膜10片,2017-06-24 22:05,,,,
1***熊,PLUS会员,"<div class=""comment-star star1""></div>",没有中文标签，是否合法？,,,2020-10-19 21:29,【补水保湿】水润面膜,,
哥***坏,PLUS会员,"<div class=""comment-star star1""></div>",包装底部都是打开的，怎么让人相信这是正品？,,,2018-05-18 21:49,水润保湿面膜10片,,
****g,,"<div class=""comment-star star1""></div>",感觉是假的，没有之前好用,【补水保湿】水润面膜,2020-09-19 20:36,,,,
****p,,"<div class=""comment-star star1""></div>",没有二维码，包装简单，不敢用,水润保湿面膜10片,2017-06-20 22:20,,,,
l***3,,"<div class=""comment-star star1""></div>",和香港买的包装和体感都不太一样,【补水保湿】水润面膜,2020-12-02 17:54,,,,
****7,,"<div class=""comment-star star1""></div>",昨天买的，用了一张就长痘,水润保湿面膜10片,2017-04-24 13:32,,,,
u***8,,"<div class=""comment-star star1""></div>",怎么好干的感觉，难道我买到了假货？,水润保湿面膜10片,2018-02-12 21:03,,,,
****5,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,【热销爆款】水润保湿面膜,2020-08-05 11:00,,,,
迪***o,PLUS会员,"<div class=""comment-star star1""></div>",产品质感：还可以买贵了不给退差价,,,2020-11-13 02:30,【补水保湿】水润面膜,,
f***7,PLUS会员,"<div class=""comment-star star1""></div>",包装越来越差都烂了我能打零分吗？,水润保湿面膜10片,2016-11-11 19:40,,,,
D***z,,"<div class=""comment-star star1""></div>",您没有填写内容，默认好评,【补水保湿】水润面膜,2020-08-28 22:56,,,,
****7,,"<div class=""comment-star star1""></div>",收到货，盒子都烂了，外包装是个塑料袋装的！,,,2017-11-13 16:19,水润保湿面膜10片,,
****d,,"<div class=""comment-star star1""></div>",两盒一起买的，一盒还行一盒感觉很假,水润保湿面膜,,,,,2018-11-21 20:40
****L,,"<div class=""comment-star star1""></div>",用了以后脸上立刻过敏了,水润保湿面膜10片,2018-06-02 16:17,,,,
u***f,,"<div class=""comment-star star1""></div>",盒子都坏掉了。失望。有点怀疑是不是正品了。唉,,,2017-06-16 16:44,水润保湿面膜10片,,
u***4,,"<div class=""comment-star star1""></div>",还没到货就降价了，外包装都坏了,水润保湿面膜10片,,,,,
s***9,,"<div class=""comment-star star1""></div>",刚收到货就是这样了，被人家拆过的，用了再追评吧！,,,,水润保湿面膜,2018-12-24 16:29,
栤***璨,PLUS会员,"<div class=""comment-star star1""></div>",不好，假货，面膜纸和味道都一样,【热销爆款】水润保湿面膜10片,,,,,2020-02-18 14:22
****m,PLUS会员,"<div class=""comment-star star1""></div>",感觉是假货，面膜纸好厚而且没有小孔,水润保湿面膜10片,2017-11-22 22:01,,,,
u***u,,"<div class=""comment-star star1""></div>",效果不好，不如在店里买的好，感觉是假的,水润保湿面膜,,,,,2019-06-02 11:09
u***d,PLUS会员,"<div class=""comment-star star1""></div>",东西是不是正品不清楚，但是盒子是被压扁了的,水润保湿面膜10片,2018-05-19 13:51,,,,
k***M,,"<div class=""comment-star star1""></div>",一般吧看不出来效果失望,水润保湿面膜10片,2017-01-13 17:57,,,,
****r,,"<div class=""comment-star star1""></div>",使用感受：假货，没有感觉到补水,【玄彬同款】水润面膜,2020-12-14 21:01,,,,
S***F,,"<div class=""comment-star star1""></div>",快递有点慢，还是京东快递，而且还收了快递费,水润保湿面膜10片,2017-06-22 22:22,,,,
****l,,"<div class=""comment-star star1""></div>",感觉假的，而且没有发票,水润保湿面膜10片,2016-09-30 19:23,,,,
d***1,PLUS会员,"<div class=""comment-star star1""></div>",过敏，用一次长了很多痘痘。,水润保湿面膜,,,,,2019-04-16 22:58
风***1,,"<div class=""comment-star star1""></div>",买的时候128后来58京东的价格有的时候能让人吐血,,,2017-06-10 11:28,水润保湿面膜10片,,
u***1,,"<div class=""comment-star star1""></div>",快递态度醉了，可横可横的,水润保湿面膜10片,2017-01-17 14:06,,,,
****7,,"<div class=""comment-star star1""></div>",确定是真货吗产地上海？,【热销爆款】水润保湿面膜,,,,,2019-12-02 22:49
S***4,,"<div class=""comment-star star1""></div>",使用感受：便宜没好货东西可能不是假的但是东西好差,【热销爆款】水润保湿面膜,,,,,2019-11-14 14:08
u***8,PLUS会员,"<div class=""comment-star star1""></div>",用完后脸上干。有点干敏。差,水润保湿面膜10片,,,,,
u***k,,"<div class=""comment-star star1""></div>",到的时候盒子全是坏的，第一感觉就不像是真品,,,,水润保湿面膜10片,,
u***e,,"<div class=""comment-star star1""></div>",无法扫二维码啊！是不是不合格产品啊,水润保湿面膜10片,2016-11-13 22:35,,,,
u***9,,"<div class=""comment-star star1""></div>",这个东西买的时候*了，这定价机制真是搞不懂！！！,水润保湿面膜10片,,,,,
爱****,PLUS会员,"<div class=""comment-star star1""></div>",京东**，**刚买就降价、还不支持价保,水润保湿面膜10片,2016-11-07 12:12,,,,
u***p,,"<div class=""comment-star star1""></div>",油腻，跟香港买的不一样的，下次不敢买了,,,2017-08-09 14:18,水润保湿面膜10片,,
u***i,,"<div class=""comment-star star1""></div>",使用感受：满脸过敏千万不要买了,【补水保湿】水润面膜,2020-10-09 07:05,,,,
失***的,,"<div class=""comment-star star1""></div>",补水效果一般般，味道不好闻,水润保湿面膜10片,2017-08-09 22:01,,,,
****0,,"<div class=""comment-star star1""></div>",要不是我打开盒子了早退货了，东西绝对是假货,水润保湿面膜10片,2018-06-15 15:56,,,,
****r,,"<div class=""comment-star star1""></div>",能不能包装有点心，旗舰店东西搞的跟假货似的,,,2018-07-18 13:49,水润保湿面膜10片,,
足***0,,"<div class=""comment-star star1""></div>",收到的产品包装破损，里面的产品都放返了一片,,,2018-07-23 12:32,水润保湿面膜10片,,
****p,,"<div class=""comment-star star1""></div>",包装明显有人拆开过.胶带印都不一样,水润保湿面膜10片,2018-06-22 21:13,,,,
悟***y,PLUS会员,"<div class=""comment-star star1""></div>",不好，和商场里买的用起来感觉不一样,水润保湿面膜10片,2017-05-26 21:18,,,,
L***U,PLUS会员,"<div class=""comment-star star1""></div>",跟上次买的不一样～包装这次感觉就不对～～不是真的,水润保湿面膜10片,2017-05-22 14:53,,,,
P***姐,PLUS会员,"<div class=""comment-star star1""></div>",假货和之前用的不一样,水润保湿面膜10片,2017-04-08 10:30,,,,
****6,,"<div class=""comment-star star1""></div>",东西也不算便宜了，可是实在是不好用,水润保湿面膜10片,2017-07-05 19:59,,,,
荣***3,,"<div class=""comment-star star1""></div>",不想有过多评价，好像是别人退货的又发给我了,,,,【热销爆款】水润保湿面膜10片,2020-04-20 20:43,
****8,,"<div class=""comment-star star1""></div>",只能说一份价钱一份货吧日期两年了,,,2020-11-11 21:07,【补水保湿】水润面膜,,
悠***哲,PLUS会员,"<div class=""comment-star star1""></div>",贴合效果：不好，面膜比较厚，不服帖,【热销爆款】水润保湿面膜10片,,,,,2020-04-17 20:57
****l,PLUS会员,"<div class=""comment-star star1""></div>",好奇，这个东西跟洗面奶都没有出场日期只有保质期,针剂水库补水保湿面膜25ml*10,2016-06-12 18:00,,,,
P***c,,"<div class=""comment-star star1""></div>",基本没什么效果，还是买国产的靠谱些,【热销爆款】水润保湿面膜,,,,,2019-12-03 22:07
****y,PLUS会员,"<div class=""comment-star star1""></div>",4月4日买的，4月5日就降价，而且每盒便宜了*元。,水润保湿面膜10片,2018-04-05 15:03,,,,
百***傑,PLUS会员,"<div class=""comment-star star1""></div>",买了之后，又搞活动便宜那么多，亏死了,水润保湿面膜10片,,,,,
清***2,,"<div class=""comment-star star1""></div>",不是很理想敷完有刺痛感觉,水润保湿面膜,,,,,2019-09-02 23:23
****1,,"<div class=""comment-star star1""></div>",这价格我是醉了，刚收到货回来看价格少了50块?,水润保湿面膜10片,2017-12-20 09:49,,,,
****1,PLUS会员,"<div class=""comment-star star1""></div>",快递是挺快，东西也没少，但是这样我还怎么送人,,,,水润保湿面膜,2019-06-17 13:26,
u***1,,"<div class=""comment-star star1""></div>",买的时候是128，快递拿到手就99，也是个奇葩,【热销爆款】水润保湿面膜10片,,,,,2020-03-07 21:23
小***_,PLUS会员,"<div class=""comment-star star1""></div>",不太好用，一分价钱一分货！,【补水保湿】水润面膜,2020-09-24 12:34,,,,
语***6,,"<div class=""comment-star star1""></div>",盒子是开着的，没有封装，也不知道是不是正品,,,,水润保湿面膜,2019-08-18 14:16,
