用户名,会员,星级,评论,采集时间,类型1,评论时间1,类型2,评论时间2,评论时间3,评论时间4
u***q,,"<div class=""comment-star star3""></div>",买错了，这款只是补水的，一般般吧,10:36.7,水润保湿面膜10片,2016/10/12 10:04,,,,
****?,,"<div class=""comment-star star3""></div>",一般般吧，没开始用那时有效果。。,10:36.8,水润保湿面膜10片,2017/7/2 10:37,,,,
****z,,"<div class=""comment-star star3""></div>",刚收到货，听说还行，试着用看看。,10:36.9,针剂水库补水保湿面膜25ml*10,2016/5/31 23:53,,,,
k***o,,"<div class=""comment-star star3""></div>",还沒用也是第一次购买这个牌孑期待好效果,10:36.9,水润保湿面膜10片,2016/11/13 13:11,,,,
****0,PLUS会员,"<div class=""comment-star star3""></div>",开始还不错，就是面膜不舍和遗憾,10:37.0,水润保湿面膜,,,,,
哔***新,,"<div class=""comment-star star3""></div>",精华明显要比之前少了好多,10:37.1,【热销爆款】水润保湿面膜10片,,,,,
李***啊,,"<div class=""comment-star star3""></div>",和我同学在香港带回来的不一样,10:37.1,水润保湿面膜10片,2018/7/20 8:52,,,,
陆***静,PLUS会员,"<div class=""comment-star star3""></div>",放在上班的地方被老鼠咬了。。。。,10:37.2,水润保湿面膜10片,2016/10/12 9:16,,,,
g***i,PLUS会员,"<div class=""comment-star star3""></div>",不知道是不是正品用用看吧,10:37.2,水润保湿面膜10片,2017/11/18 15:31,,,,
凝***暝,PLUS会员,"<div class=""comment-star star3""></div>",挺好的，一直喜欢用这个呢。,10:37.3,【补水保湿】水润面膜,2020/11/27 16:05,,,,
****f,,"<div class=""comment-star star3""></div>",这次买的用着过敏、假的,10:37.6,水润保湿面膜10片,2018/4/23 13:41,,,,
L***d,,"<div class=""comment-star star3""></div>",看起来还可以，不知道是不是正品,10:37.7,水润保湿面膜10片,2016/11/6 16:05,,,,
c***光,PLUS会员,"<div class=""comment-star star3""></div>",日期都是18年的，幸亏没买多,10:37.7,【补水保湿】水润面膜,2020/12/7 12:24,,,,
z***i,PLUS会员,"<div class=""comment-star star3""></div>",个人感觉，各方面，都一般。中规中矩。,10:37.8,水润保湿面膜,,,,,
关***n,,"<div class=""comment-star star3""></div>",用完脸上一块一块红我是敏感肌,10:37.8,水润保湿面膜10片,2017/6/23 11:39,,,,
绝***血,,"<div class=""comment-star star3""></div>",使用中效果还算好。价钱也平宜了*，不错……,10:37.9,水润保湿面膜10片,2016/8/30 7:33,,,,
****s,,"<div class=""comment-star star3""></div>",这个还没用，不知道怎样,10:37.9,水润保湿面膜,,,,,
s***y,PLUS会员,"<div class=""comment-star star3""></div>",送货很快但物品包装有破损。,10:37.9,,,【玄彬同款】水润面膜,,2020/12/23 21:37,
奢***笑,PLUS会员,"<div class=""comment-star star3""></div>",跟我以前用的这个牌子不一样,10:38.0,水润保湿面膜10片,2016/8/31 11:09,,,,
****o,,"<div class=""comment-star star3""></div>",感觉面膜很厚，精华水不多,10:38.0,【热销爆款】水润保湿面膜,,,,,
****C,,"<div class=""comment-star star3""></div>",敷完脸上超级黏，必须要洗脸才可以,10:38.3,【热销爆款】水润保湿面膜,,,,,
G***q,,"<div class=""comment-star star3""></div>",补水效果：没有之前的厚和效果好,10:38.4,【热销爆款】水润保湿面膜10片,,,,,
放***6,PLUS会员,"<div class=""comment-star star3""></div>",东西不错，但东西的价格和活动变化太快。,10:38.4,【热销爆款】水润保湿面膜10片,,,,,
s***e,,"<div class=""comment-star star3""></div>",补水效果：一般贴合效果：一般使用感受：一般,10:38.5,【热销爆款】水润保湿面膜10片,,,,,
紫***瞳,PLUS会员,"<div class=""comment-star star3""></div>",很好补水效果棒价格实惠,10:38.5,,,水润保湿面膜10片,,2017/7/22 16:19,
a***l,,"<div class=""comment-star star3""></div>",物流很快，不知道是不是正品,10:38.6,水润保湿面膜10片,2016/11/25 11:27,,,,
r***5,PLUS会员,"<div class=""comment-star star3""></div>",给别人买的，我用一片脸就过敏了,10:38.7,水润保湿面膜,,,,,
梦***-,,"<div class=""comment-star star3""></div>",可以，希望用了效果看，希望是正品,10:38.7,,,水润保湿面膜10片,,2018/4/14 21:26,
w***1,PLUS会员,"<div class=""comment-star star3""></div>",产品还成，就是日期到2021年6月,10:38.8,,,【补水保湿】水润面膜,,2020/11/20 9:23,
w***q,,"<div class=""comment-star star3""></div>",亲！我对们的发货速度和产品都感到非常的满意,10:38.9,水润保湿面膜10片,2016/9/24 19:46,,,,
u***g,,"<div class=""comment-star star3""></div>",快递给力面膜还没用用后再评价,10:39.2,水润保湿面膜10片,2016/12/16 15:24,,,,
****d,,"<div class=""comment-star star3""></div>",还没用收到货有一盒开过的,10:39.2,,,【热销爆款】水润保湿面膜10片,2020/1/14 18:17,,
碎***果,PLUS会员,"<div class=""comment-star star3""></div>",还没用不知道是否正品先相信jd吧,10:39.3,水润保湿面膜,,,,,
蓝***4,PLUS会员,"<div class=""comment-star star3""></div>",还不错吧，只是跟正品有点出入不知道真假。凑合,10:39.3,水润保湿面膜10片,2017/8/1 12:46,,,,
牛***思,PLUS会员,"<div class=""comment-star star3""></div>",这款面膜还不错，就是用太多次了就长闭口,10:39.4,【热销爆款】水润保湿面膜10片,,,,,
****p,,"<div class=""comment-star star3""></div>",补水效果：补水一般吧，性价比很高,10:39.4,【热销爆款】水润保湿面膜10片,,,,,
****t,,"<div class=""comment-star star3""></div>",用了2次，脸上长了好多痘,10:39.5,水润保湿面膜10片,2017/7/20 15:53,,,,
